crime_code,crime_type,occurred_at,latitude,longitude,address,description,police_station,is_accident,is_women_related,severity
379,IPC-Theft,2024-04-21T16:29:00,13.091885,80.337495,"Sector 60, Zone 17",FIR narrative sample #52 for IPC-Theft.,Adyar PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2024-08-02T10:48:00,12.989624,77.629684,"Sector 58, Zone 6",FIR narrative sample #53 for ArmsAct-IllegalWeapon.,Mylapore PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2024-12-29T08:48:00,13.137078,80.23507,"Sector 81, Zone 8",FIR narrative sample #54 for NDPS-DrugConsumption.,Anna Nagar PS,False,False,3
376,IPC-SexualOffence,2025-01-08T02:45:00,12.929119,77.568336,"Sector 18, Zone 5",FIR narrative sample #55 for IPC-SexualOffence.,T. Nagar PS,False,False,5
420,IPC-Fraud,2025-03-07T22:09:00,17.339232,78.473079,"Sector 54, Zone 2",FIR narrative sample #56 for IPC-Fraud.,Anna Nagar PS,False,False,3
420,IPC-Fraud,2025-01-28T12:57:00,17.45637,78.409825,"Sector 49, Zone 16",FIR narrative sample #57 for IPC-Fraud.,Mylapore PS,False,False,3
302,IPC-Murder,2025-04-08T09:48:00,13.028152,77.667149,"Sector 95, Zone 18",FIR narrative sample #58 for IPC-Murder.,Tambaram PS,False,False,5
MV-184,Accident-RashDriving,2025-08-21T15:14:00,12.961334,77.519244,"Sector 52, Zone 6",FIR narrative sample #59 for Accident-RashDriving.,Tambaram PS,True,False,3
NDPS-27,NDPS-DrugConsumption,2025-11-24T19:34:00,13.147809,80.285403,"Sector 83, Zone 14",FIR narrative sample #60 for NDPS-DrugConsumption.,T. Nagar PS,False,False,3
379,IPC-Theft,2024-12-17T05:03:00,12.952257,77.548466,"Sector 36, Zone 14",FIR narrative sample #61 for IPC-Theft.,Anna Nagar PS,False,False,2
376,IPC-SexualOffence,2026-01-10T15:01:00,17.391307,78.566685,"Sector 9, Zone 2",FIR narrative sample #62 for IPC-SexualOffence.,Tambaram PS,False,False,5
302,IPC-Murder,2025-07-24T06:53:00,13.102114,80.228867,"Sector 73, Zone 7",FIR narrative sample #63 for IPC-Murder.,T. Nagar PS,False,False,5
NDPS-27,NDPS-DrugConsumption,2024-04-17T08:49:00,12.918446,77.61176,"Sector 21, Zone 10",FIR narrative sample #64 for NDPS-DrugConsumption.,T. Nagar PS,False,False,3
307,IPC-AttemptToMurder,2024-08-19T00:59:00,12.983727,77.659884,"Sector 26, Zone 3",FIR narrative sample #65 for IPC-AttemptToMurder.,Tambaram PS,False,False,4
MV-184,Accident-RashDriving,2024-04-26T20:15:00,13.114251,80.238953,"Sector 73, Zone 2",FIR narrative sample #66 for Accident-RashDriving.,T. Nagar PS,True,False,3
323,IPC-Assault,2024-10-05T13:42:00,12.902633,77.618207,"Sector 63, Zone 4",FIR narrative sample #67 for IPC-Assault.,Anna Nagar PS,False,True,2
NDPS-21,NDPS-DrugPossession,2025-03-29T20:57:00,13.004769,77.584278,"Sector 35, Zone 20",FIR narrative sample #68 for NDPS-DrugPossession.,Tambaram PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2024-11-24T14:27:00,17.399796,78.458269,"Sector 36, Zone 15",FIR narrative sample #69 for ArmsAct-IllegalWeapon.,T. Nagar PS,False,False,4
420,IPC-Fraud,2024-12-14T18:39:00,17.365638,78.411292,"Sector 63, Zone 7",FIR narrative sample #70 for IPC-Fraud.,Adyar PS,False,False,3
323,IPC-Assault,2025-07-13T10:17:00,17.417189,78.450903,"Sector 11, Zone 8",FIR narrative sample #71 for IPC-Assault.,Adyar PS,False,True,2
NDPS-21,NDPS-DrugPossession,2024-11-19T17:48:00,13.113197,80.294044,"Sector 12, Zone 10",FIR narrative sample #72 for NDPS-DrugPossession.,T. Nagar PS,False,False,4
420,IPC-Fraud,2025-02-13T22:15:00,12.997834,77.573643,"Sector 55, Zone 18",FIR narrative sample #73 for IPC-Fraud.,Velachery PS,False,False,3
323,IPC-Assault,2025-04-08T22:29:00,12.94066,77.551486,"Sector 16, Zone 18",FIR narrative sample #74 for IPC-Assault.,Velachery PS,False,False,2
379,IPC-Theft,2025-09-19T06:47:00,12.93584,77.608934,"Sector 37, Zone 4",FIR narrative sample #75 for IPC-Theft.,Mylapore PS,False,False,2
420,IPC-Fraud,2025-06-04T07:23:00,13.051063,80.303983,"Sector 7, Zone 18",FIR narrative sample #76 for IPC-Fraud.,T. Nagar PS,False,False,3
376,IPC-SexualOffence,2024-04-19T04:40:00,12.908014,77.516562,"Sector 57, Zone 11",FIR narrative sample #77 for IPC-SexualOffence.,Anna Nagar PS,False,False,5
379,IPC-Theft,2026-02-10T08:55:00,12.909854,77.525055,"Sector 81, Zone 2",FIR narrative sample #78 for IPC-Theft.,Mylapore PS,False,False,2
379,IPC-Theft,2025-11-02T18:19:00,13.161727,80.209652,"Sector 77, Zone 20",FIR narrative sample #79 for IPC-Theft.,Mylapore PS,False,False,2
420,IPC-Fraud,2024-10-15T12:28:00,12.939177,77.608764,"Sector 80, Zone 2",FIR narrative sample #80 for IPC-Fraud.,Mylapore PS,False,False,3
MV-184,Accident-RashDriving,2025-12-23T06:40:00,13.045043,80.20369,"Sector 10, Zone 6",FIR narrative sample #81 for Accident-RashDriving.,Mylapore PS,True,False,3
302,IPC-Murder,2025-02-09T14:44:00,17.380186,78.411922,"Sector 90, Zone 15",FIR narrative sample #82 for IPC-Murder.,Velachery PS,False,False,5
307,IPC-AttemptToMurder,2024-04-30T07:59:00,13.017652,77.614609,"Sector 55, Zone 4",FIR narrative sample #83 for IPC-AttemptToMurder.,Adyar PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2025-08-16T20:09:00,13.023861,77.526026,"Sector 77, Zone 19",FIR narrative sample #84 for ArmsAct-IllegalWeapon.,Velachery PS,False,False,4
376,IPC-SexualOffence,2025-01-09T03:29:00,17.353655,78.471101,"Sector 64, Zone 15",FIR narrative sample #85 for IPC-SexualOffence.,Mylapore PS,False,True,5
307,IPC-AttemptToMurder,2024-07-30T01:56:00,13.009125,77.611194,"Sector 87, Zone 19",FIR narrative sample #86 for IPC-AttemptToMurder.,Adyar PS,False,True,4
MV-184,Accident-RashDriving,2026-03-13T21:52:00,12.9838,77.636697,"Sector 84, Zone 15",FIR narrative sample #87 for Accident-RashDriving.,Mylapore PS,True,False,3
376,IPC-SexualOffence,2025-09-30T18:27:00,17.435279,78.561749,"Sector 43, Zone 11",FIR narrative sample #88 for IPC-SexualOffence.,Anna Nagar PS,False,False,5
307,IPC-AttemptToMurder,2025-10-21T10:26:00,17.384275,78.512713,"Sector 5, Zone 15",FIR narrative sample #89 for IPC-AttemptToMurder.,Mylapore PS,False,False,4
307,IPC-AttemptToMurder,2025-05-16T08:20:00,13.15793,80.255368,"Sector 85, Zone 18",FIR narrative sample #90 for IPC-AttemptToMurder.,T. Nagar PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2025-02-04T01:12:00,17.362885,78.527731,"Sector 27, Zone 9",FIR narrative sample #91 for NDPS-DrugConsumption.,T. Nagar PS,False,False,3
ARMS-25,ArmsAct-IllegalWeapon,2025-11-20T09:28:00,17.382554,78.411319,"Sector 91, Zone 6",FIR narrative sample #92 for ArmsAct-IllegalWeapon.,Adyar PS,False,False,4
376,IPC-SexualOffence,2024-09-16T00:35:00,12.906513,77.673361,"Sector 16, Zone 5",FIR narrative sample #93 for IPC-SexualOffence.,Anna Nagar PS,False,False,5
NDPS-27,NDPS-DrugConsumption,2025-06-09T16:45:00,12.958078,77.5918,"Sector 71, Zone 5",FIR narrative sample #94 for NDPS-DrugConsumption.,Anna Nagar PS,False,False,3
NDPS-21,NDPS-DrugPossession,2025-09-20T19:32:00,17.445692,78.544944,"Sector 44, Zone 17",FIR narrative sample #95 for NDPS-DrugPossession.,Anna Nagar PS,False,False,4
376,IPC-SexualOffence,2026-04-01T09:46:00,13.025596,77.607388,"Sector 58, Zone 18",FIR narrative sample #96 for IPC-SexualOffence.,Adyar PS,False,False,5
NDPS-27,NDPS-DrugConsumption,2025-04-15T10:35:00,17.365354,78.555956,"Sector 31, Zone 19",FIR narrative sample #97 for NDPS-DrugConsumption.,Tambaram PS,False,False,3
NDPS-21,NDPS-DrugPossession,2025-08-07T13:02:00,13.010753,77.627436,"Sector 85, Zone 5",FIR narrative sample #98 for NDPS-DrugPossession.,Anna Nagar PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2026-02-25T04:32:00,17.358119,78.422758,"Sector 68, Zone 15",FIR narrative sample #99 for NDPS-DrugConsumption.,T. Nagar PS,False,False,3
302,IPC-Murder,2025-11-07T13:55:00,17.460193,78.418673,"Sector 44, Zone 20",FIR narrative sample #100 for IPC-Murder.,Velachery PS,False,False,5
NDPS-21,NDPS-DrugPossession,2024-06-07T02:54:00,13.027975,77.652095,"Sector 81, Zone 16",FIR narrative sample #101 for NDPS-DrugPossession.,Velachery PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2026-02-26T19:04:00,13.103686,80.338049,"Sector 12, Zone 14",FIR narrative sample #102 for ArmsAct-IllegalWeapon.,Tambaram PS,False,False,4
307,IPC-AttemptToMurder,2024-06-24T22:55:00,13.073689,80.30174,"Sector 42, Zone 2",FIR narrative sample #103 for IPC-AttemptToMurder.,T. Nagar PS,False,False,4
376,IPC-SexualOffence,2025-04-01T11:27:00,13.041772,80.256628,"Sector 22, Zone 6",FIR narrative sample #104 for IPC-SexualOffence.,Adyar PS,False,False,5
307,IPC-AttemptToMurder,2024-07-18T12:39:00,17.343533,78.552753,"Sector 82, Zone 9",FIR narrative sample #105 for IPC-AttemptToMurder.,Anna Nagar PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2025-07-16T21:00:00,13.035794,77.623018,"Sector 45, Zone 19",FIR narrative sample #106 for NDPS-DrugConsumption.,Anna Nagar PS,False,False,3
376,IPC-SexualOffence,2024-06-18T13:44:00,12.964694,77.562939,"Sector 14, Zone 8",FIR narrative sample #107 for IPC-SexualOffence.,Anna Nagar PS,False,False,5
NDPS-21,NDPS-DrugPossession,2024-08-26T11:36:00,13.050431,77.561837,"Sector 51, Zone 9",FIR narrative sample #108 for NDPS-DrugPossession.,Tambaram PS,False,False,4
302,IPC-Murder,2024-09-01T21:49:00,17.460776,78.552399,"Sector 30, Zone 20",FIR narrative sample #109 for IPC-Murder.,Velachery PS,False,False,5
323,IPC-Assault,2025-08-22T20:12:00,17.3451,78.527592,"Sector 18, Zone 4",FIR narrative sample #110 for IPC-Assault.,Tambaram PS,False,False,2
302,IPC-Murder,2025-05-22T14:02:00,17.363378,78.427726,"Sector 96, Zone 14",FIR narrative sample #111 for IPC-Murder.,Velachery PS,False,False,5
379,IPC-Theft,2025-09-10T04:50:00,17.445234,78.465237,"Sector 22, Zone 9",FIR narrative sample #112 for IPC-Theft.,Velachery PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-06-05T23:55:00,13.020277,77.589533,"Sector 87, Zone 13",FIR narrative sample #113 for NDPS-DrugConsumption.,Adyar PS,False,False,3
ARMS-25,ArmsAct-IllegalWeapon,2025-03-25T02:50:00,12.893827,77.600452,"Sector 96, Zone 9",FIR narrative sample #114 for ArmsAct-IllegalWeapon.,Tambaram PS,False,False,4
MV-184,Accident-RashDriving,2025-03-09T20:23:00,13.110674,80.266136,"Sector 42, Zone 20",FIR narrative sample #115 for Accident-RashDriving.,Mylapore PS,True,False,3
420,IPC-Fraud,2024-06-09T02:40:00,13.037102,77.56295,"Sector 6, Zone 2",FIR narrative sample #116 for IPC-Fraud.,Adyar PS,False,False,3
376,IPC-SexualOffence,2024-11-15T03:06:00,13.144661,80.212406,"Sector 96, Zone 18",FIR narrative sample #117 for IPC-SexualOffence.,Tambaram PS,False,False,5
NDPS-21,NDPS-DrugPossession,2024-08-10T23:46:00,13.144366,80.295488,"Sector 53, Zone 9",FIR narrative sample #118 for NDPS-DrugPossession.,Mylapore PS,False,False,4
302,IPC-Murder,2024-04-27T11:13:00,12.962751,77.552378,"Sector 48, Zone 18",FIR narrative sample #119 for IPC-Murder.,Tambaram PS,False,False,5
323,IPC-Assault,2026-01-31T12:17:00,13.157613,80.342542,"Sector 85, Zone 7",FIR narrative sample #120 for IPC-Assault.,T. Nagar PS,False,False,2
MV-184,Accident-RashDriving,2026-03-13T01:50:00,12.930571,77.534748,"Sector 98, Zone 18",FIR narrative sample #121 for Accident-RashDriving.,T. Nagar PS,True,False,3
420,IPC-Fraud,2024-08-11T06:52:00,13.05527,80.214309,"Sector 36, Zone 5",FIR narrative sample #122 for IPC-Fraud.,T. Nagar PS,False,False,3
379,IPC-Theft,2024-09-27T08:51:00,13.020288,80.329332,"Sector 31, Zone 19",FIR narrative sample #123 for IPC-Theft.,Velachery PS,False,False,2
323,IPC-Assault,2026-03-18T05:16:00,13.022981,80.258054,"Sector 61, Zone 15",FIR narrative sample #124 for IPC-Assault.,T. Nagar PS,False,False,2
323,IPC-Assault,2024-10-25T18:06:00,12.972214,77.665867,"Sector 67, Zone 10",FIR narrative sample #125 for IPC-Assault.,Tambaram PS,False,True,2
NDPS-27,NDPS-DrugConsumption,2024-06-14T00:03:00,13.027168,77.582804,"Sector 57, Zone 3",FIR narrative sample #126 for NDPS-DrugConsumption.,Tambaram PS,False,False,3
307,IPC-AttemptToMurder,2025-05-09T19:09:00,13.022891,80.290591,"Sector 42, Zone 13",FIR narrative sample #127 for IPC-AttemptToMurder.,Tambaram PS,False,False,4
MV-184,Accident-RashDriving,2024-10-07T09:29:00,17.401868,78.422569,"Sector 84, Zone 18",FIR narrative sample #128 for Accident-RashDriving.,Tambaram PS,True,False,3
420,IPC-Fraud,2025-01-18T14:56:00,13.06891,80.323087,"Sector 13, Zone 11",FIR narrative sample #129 for IPC-Fraud.,Tambaram PS,False,False,3
NDPS-21,NDPS-DrugPossession,2025-05-18T21:16:00,13.044175,77.624491,"Sector 11, Zone 3",FIR narrative sample #130 for NDPS-DrugPossession.,T. Nagar PS,False,False,4
NDPS-21,NDPS-DrugPossession,2025-12-26T23:47:00,13.021483,77.603619,"Sector 72, Zone 11",FIR narrative sample #131 for NDPS-DrugPossession.,Mylapore PS,False,False,4
307,IPC-AttemptToMurder,2025-02-07T11:55:00,17.455581,78.47437,"Sector 37, Zone 20",FIR narrative sample #132 for IPC-AttemptToMurder.,T. Nagar PS,False,False,4
376,IPC-SexualOffence,2025-04-08T03:36:00,17.339038,78.511778,"Sector 45, Zone 18",FIR narrative sample #133 for IPC-SexualOffence.,T. Nagar PS,False,True,5
323,IPC-Assault,2025-12-07T08:36:00,13.131855,80.325925,"Sector 79, Zone 18",FIR narrative sample #134 for IPC-Assault.,Mylapore PS,False,False,2
302,IPC-Murder,2024-07-19T21:53:00,17.347792,78.435567,"Sector 44, Zone 12",FIR narrative sample #135 for IPC-Murder.,Velachery PS,False,False,5
302,IPC-Murder,2025-09-30T04:36:00,17.369125,78.4294,"Sector 12, Zone 17",FIR narrative sample #136 for IPC-Murder.,T. Nagar PS,False,False,5
420,IPC-Fraud,2025-03-14T13:29:00,12.916785,77.564462,"Sector 77, Zone 3",FIR narrative sample #137 for IPC-Fraud.,Mylapore PS,False,False,3
302,IPC-Murder,2025-10-26T05:48:00,17.312962,78.419753,"Sector 63, Zone 20",FIR narrative sample #138 for IPC-Murder.,Anna Nagar PS,False,False,5
NDPS-27,NDPS-DrugConsumption,2025-02-03T08:13:00,17.323211,78.475486,"Sector 76, Zone 16",FIR narrative sample #139 for NDPS-DrugConsumption.,Tambaram PS,False,False,3
ARMS-25,ArmsAct-IllegalWeapon,2024-05-20T09:02:00,13.065942,80.286592,"Sector 28, Zone 5",FIR narrative sample #140 for ArmsAct-IllegalWeapon.,Velachery PS,False,True,4
376,IPC-SexualOffence,2025-06-11T10:07:00,13.082282,80.259605,"Sector 91, Zone 8",FIR narrative sample #141 for IPC-SexualOffence.,Mylapore PS,False,True,5
ARMS-25,ArmsAct-IllegalWeapon,2024-09-08T21:51:00,12.903132,77.652482,"Sector 59, Zone 3",FIR narrative sample #142 for ArmsAct-IllegalWeapon.,T. Nagar PS,False,True,4
323,IPC-Assault,2024-08-22T13:36:00,13.00512,77.581431,"Sector 42, Zone 6",FIR narrative sample #143 for IPC-Assault.,T. Nagar PS,False,False,2
MV-184,Accident-RashDriving,2024-12-18T22:58:00,12.905701,77.649717,"Sector 52, Zone 17",FIR narrative sample #144 for Accident-RashDriving.,Mylapore PS,True,False,3
307,IPC-AttemptToMurder,2025-02-22T09:47:00,12.927052,77.639259,"Sector 15, Zone 17",FIR narrative sample #145 for IPC-AttemptToMurder.,Tambaram PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2025-09-17T11:22:00,17.458316,78.509971,"Sector 19, Zone 9",FIR narrative sample #146 for ArmsAct-IllegalWeapon.,T. Nagar PS,False,False,4
420,IPC-Fraud,2025-10-08T19:09:00,17.317057,78.558907,"Sector 97, Zone 19",FIR narrative sample #147 for IPC-Fraud.,Anna Nagar PS,False,False,3
MV-184,Accident-RashDriving,2024-12-30T21:59:00,17.407879,78.564545,"Sector 41, Zone 5",FIR narrative sample #148 for Accident-RashDriving.,Tambaram PS,True,False,3
NDPS-27,NDPS-DrugConsumption,2026-01-24T15:28:00,17.353451,78.450648,"Sector 10, Zone 10",FIR narrative sample #149 for NDPS-DrugConsumption.,Mylapore PS,False,True,3
NDPS-27,NDPS-DrugConsumption,2024-12-27T01:03:00,13.024671,77.526877,"Sector 79, Zone 20",FIR narrative sample #150 for NDPS-DrugConsumption.,T. Nagar PS,False,False,3
ARMS-25,ArmsAct-IllegalWeapon,2025-03-06T14:37:00,17.457677,78.524927,"Sector 84, Zone 7",FIR narrative sample #151 for ArmsAct-IllegalWeapon.,Mylapore PS,False,True,4
323,IPC-Assault,2024-07-23T15:32:00,13.155936,80.262784,"Sector 92, Zone 3",FIR narrative sample #152 for IPC-Assault.,Velachery PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2024-06-11T05:02:00,13.115919,80.349258,"Sector 21, Zone 12",FIR narrative sample #153 for ArmsAct-IllegalWeapon.,Mylapore PS,False,False,4
323,IPC-Assault,2025-06-18T12:26:00,13.000224,77.522978,"Sector 9, Zone 11",FIR narrative sample #154 for IPC-Assault.,Velachery PS,False,False,2
307,IPC-AttemptToMurder,2024-09-09T21:24:00,12.931919,77.650851,"Sector 20, Zone 11",FIR narrative sample #155 for IPC-AttemptToMurder.,Mylapore PS,False,False,4
307,IPC-AttemptToMurder,2024-08-15T21:09:00,12.941237,77.619569,"Sector 77, Zone 3",FIR narrative sample #156 for IPC-AttemptToMurder.,Adyar PS,False,False,4
